,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,39,7,77516,10,13,5,1,2,5,2,2174,0,40,39,0
1,50,6,83311,10,13,3,4,1,5,2,0,0,13,39,0
2,38,4,215646,12,9,1,6,2,5,2,0,0,40,39,0
3,53,4,234721,2,7,3,6,1,3,2,0,0,40,39,0
4,28,4,338409,10,13,3,10,6,3,1,0,0,40,5,0
5,37,4,284582,13,14,3,4,6,5,1,0,0,40,39,0
6,49,4,160187,7,5,4,8,2,3,1,0,0,16,23,0
7,52,6,209642,12,9,3,4,1,5,2,0,0,45,39,1
8,31,4,45781,13,14,5,10,2,5,1,14084,0,50,39,1
9,42,4,159449,10,13,3,4,1,5,2,5178,0,40,39,1
10,37,4,280464,16,10,3,4,1,3,2,0,0,80,39,1
11,30,7,141297,10,13,3,10,1,2,2,0,0,40,19,1
12,23,4,122272,10,13,5,1,4,5,1,0,0,30,39,0
13,32,4,205019,8,12,5,12,2,3,2,0,0,50,39,0
14,40,4,121772,9,11,3,3,1,2,2,0,0,40,0,1
15,34,4,245487,6,4,3,14,1,1,2,0,0,45,26,0
16,25,6,176756,12,9,5,5,4,5,2,0,0,35,39,0
17,32,4,186824,12,9,5,7,5,5,2,0,0,40,39,0
18,38,4,28887,2,7,3,12,1,5,2,0,0,50,39,0
19,43,6,292175,13,14,1,4,5,5,1,0,0,45,39,1
20,40,4,193524,11,16,3,10,1,5,2,0,0,60,39,1
21,54,4,302146,12,9,6,8,5,3,1,0,0,20,39,0
22,35,1,76845,7,5,3,5,1,3,2,0,0,40,39,0
23,43,4,117037,2,7,3,14,1,5,2,0,2042,40,39,0
24,59,4,109015,12,9,1,13,5,5,1,0,0,40,39,0
25,56,2,216851,10,13,3,13,1,5,2,0,0,40,39,1
26,19,4,168294,12,9,5,3,4,5,2,0,0,40,39,0
27,54,0,180211,16,10,3,0,1,2,2,0,0,60,35,1
28,39,4,367260,12,9,1,4,2,5,2,0,0,80,39,0
29,49,4,193366,12,9,3,3,1,5,2,0,0,40,39,0
30,23,2,190709,8,12,5,11,2,5,2,0,0,52,39,0
31,20,4,266015,16,10,5,12,4,3,2,0,0,44,39,0
32,45,4,386940,10,13,1,4,4,5,2,0,1408,40,39,0
33,30,1,59951,16,10,3,1,4,5,2,0,0,40,39,0
34,22,7,311512,16,10,3,8,1,3,2,0,0,15,39,0
35,48,4,242406,2,7,5,7,5,5,2,0,0,40,33,0
36,21,4,197200,16,10,5,7,4,5,2,0,0,40,39,0
37,19,4,544091,12,9,2,1,6,5,1,0,0,25,39,0
38,31,4,84154,16,10,3,12,1,5,2,0,0,38,0,1
39,48,6,265477,8,12,3,10,1,5,2,0,0,40,39,0
40,31,4,507875,7,5,3,7,1,5,2,0,0,43,39,0
41,53,6,88506,10,13,3,10,1,5,2,0,0,40,39,0
42,24,4,172987,10,13,3,13,1,5,2,0,0,50,39,0
43,49,4,94638,12,9,6,1,5,5,1,0,0,40,39,0
44,25,4,289980,12,9,5,6,2,5,2,0,0,35,39,0
45,57,1,337895,10,13,3,10,1,3,2,0,0,40,39,1
46,53,4,144361,12,9,3,7,1,5,2,0,0,38,39,0
47,44,4,128354,13,14,1,4,5,5,1,0,0,40,39,0
48,41,7,101603,9,11,3,3,1,5,2,0,0,40,39,0
49,29,4,271466,9,11,5,10,2,5,2,0,0,43,39,0
50,25,4,32275,16,10,3,4,6,4,1,0,0,40,39,0
51,18,4,226956,12,9,5,8,4,5,1,0,0,30,0,0
52,47,4,51835,15,15,3,10,6,5,1,0,1902,60,16,1
53,50,1,251585,10,13,1,4,2,5,2,0,0,55,39,1
54,47,5,109832,12,9,1,4,2,5,2,0,0,60,39,0
55,43,4,237993,16,10,3,13,1,5,2,0,0,40,39,1
56,46,4,216666,5,3,3,7,1,5,2,0,0,40,26,0
57,35,4,56352,9,11,3,8,1,5,2,0,0,40,33,0
58,41,4,147372,12,9,3,1,1,5,2,0,0,48,39,0
59,30,4,188146,12,9,3,7,1,5,2,5013,0,40,39,0
60,30,4,59496,10,13,3,12,1,5,2,2407,0,40,39,0
61,32,0,293936,6,4,4,0,2,5,2,0,0,40,0,0
62,48,4,149640,12,9,3,14,1,5,2,0,0,40,39,0
63,42,4,116632,11,16,3,10,1,5,2,0,0,45,39,1
64,29,4,105598,16,10,1,13,2,5,2,0,0,58,39,0
65,36,4,155537,12,9,3,3,1,5,2,0,0,40,39,0
66,28,4,183175,16,10,1,1,2,5,1,0,0,40,39,0
67,53,4,169846,12,9,3,1,6,5,1,0,0,40,39,1
68,49,5,191681,16,10,3,4,1,5,2,0,0,50,39,1
69,25,0,200681,16,10,5,0,4,5,2,0,0,40,39,0
70,19,4,101509,16,10,5,10,4,5,2,0,0,32,39,0
71,31,4,309974,10,13,6,12,4,3,1,0,0,40,39,0
72,29,6,162298,10,13,3,12,1,5,2,0,0,70,39,1
73,23,4,211678,16,10,5,7,2,5,2,0,0,40,39,0
74,79,4,124744,16,10,3,10,3,5,2,0,0,20,39,0
